NUMERO,PERGUNTA,RESP1,RESP2,RESP3,RESP4,CERTA,TIPO,FLAG,JA_FOI,MATERIA
947,"SPRING CORRESPONDE A QUAL ESTAÇÃO DO ANO?","INVERNO","VERÃO","PRIMAVERA","OUTONO","3","A",,"N","I"
948,"COMPLETE A FRASE: ""HOW _______ HAVE YOU BEEN HERE?""","LONG","MUCH","MANY","DO","1","A",,"N","I"
949,"QUAL É A PREPOSIÇÃO APROPRIADA PARA A AFIRMAÇÃO: ""THE KEYS ARE ____ THE POCKET.""?","TO","FROM","IN","BETWEEN","3","A",,"N","I"
950,"QUAL É O PLURAL DA PALAVRA ""WOMAN""?","WOMANS","WOMEN","WOMENS","WEMANS","2","A",,"N","I"
951,"SWEET É UM ADJETIVO DADO A ALGO:","DOCE","SALGADO","AMARGO","AZEDO","1","A",,"N","I"
728,"COMPLETE: ""THOSE CARS WERE MADE _____ PLASTIC.""","FROM","SINCE","OF","GOT","3","A",,"N","I"
531,"SNOW É O NOME DADO A QUAL DESSES FENÔMENOS?","NEVE","CHUVA","VENTO","TROVÃO","1","A",,"N","I"
790,"SNAKE É O NOME QUE CORRESPONDE A QUAL DESSES ANIMAIS?","CAMELO","TUBARÃO","TARTARUGA","COBRA","4","A",,"N","I"
599,"SIT DOWN SIGNIFICA:","LEVANTAR-SE","PULAR","SENTAR-SE","GRITAR","3","A",,"N","I"
600,"QUAL É A RESPOSTA CORRETA PARA: ""WHAT IS YOUR JOB?""?","I AM A LAWYER","I AM TWENTY","I AM SURE ABOUT THAT","NO, I AM NOT","1","A",,"N","I"
601,"O QUE SIGNIFICA ""BIG NOSE""?","OLHOS GRANDES","BOCA PEQUENA","NARIZ GRANDE","ORELHAS PEQUENAS","3","A",,"N","I"
602,"BREAKFAST É O MESMO QUE:","SOBREMESA","ALMOÇO","JANTAR","CAFÉ DA MANHÃ","4","A",,"N","I"
612,"KITCHEN SIGNIFICA:","QUARTO","GARAGEM","COZINHA","BANHEIRO","3","A",,"N","I"
604,"COMO SE DIZ: ""ESTOU COM SEDE""?","I AM THIRSTY","I AM CRAZY","I AM SICK","I AM HUNGRY","1","A",,"N","I"
597,"PUT ON YOUR GLOVES SIGNIFICA:","COLOQUE SEU CAPUZ","TIRE SUAS MEIAS","COLOQUE SUAS LUVAS","TIRE SEU CASACO","3","A",,"N","I"
606,"QUAL PALAVRA COMPLETA CORRETAMENTE A PERGUNTA: ""HOW MUCH ________ DO YOU HAVE?","BOOKS","FRIENDS","APPLES","MONEY","4","A",,"N","I"
607,"QUAL É A RESPOSTA CORRETA PARA: ""HAVE YOU GOT A MAP?""?","NO, THEY HAVE NOT","YES, HE HAS","NO, I HAS NOT","YES, I HAVE","4","A",,"N","I"
608,"COMPLETE A FRASE: ""IF I WORKED NEARER HOME, I _____________ MORE FREE TIME"".","MUST BUY","WILL STAY","WOULD HAVE","WILL NOT PRAY","3","A",,"N","I"
609,"COMO SE DIZ ""FELIZ ANIVERSÁRIO"" EM INGLÊS?","HAPPY HOUR","HAPPY BIRTHDAY","HAPPY WEEKEND","HAPPY HOLLIDAY","2","A",,"N","I"
610,"COMO SE DIZ ""SEGUNDA-FEIRA"" EM INGLÊS?","FRIDAY","WEDNESDAY","MONDAY","TUESDAY","3","A",,"N","I"
611,"BOLO EM INGLÊS ESCREVE-SE:","SHAKE","SNAKE","MAKE","CAKE","4","A",,"N","I"
589,"A EXPRESSÃO ""TAKE OF YOUR SHOES"" SIGNIFICA:","TIRE SEUS SAPATOS","VISTA SUA CALÇA","TIRE SUAS MEIAS","VISTA SUA BLUSA","1","A",,"N","I"
587,"COMO SE ESCREVE ""CÉU"" EM INGLÊS?","SUN","SKY","STAR","MOON","2","A",,"N","I"
603,"QUAL É O PLURAL DA PALAVRA KID? ","KID","KIDIES","KIDYS","KIDS","4","A",,"N","I"
583,"OPEN É O CONTRÁRIO DE QUAL PALAVRA?","CLOSE","SIT DOWN","PICK UP","STAND UP","1","A",,"N","I"
584,"A PALAVRA ""CARROT"" CORRESPONDE A QUAL DESSES LEGUMES?","BETERRABA","CENOURA","TOMATE","BATATA","2","A",,"N","I"
585,"QUAL É A COR DO LIMÃO?","GREEN","RED","BLUE","ORANGE","1","A",,"N","I"
586,"A QUAL PEÇA DE ROUPA CORRESPONDE A PALAVRA ""SKIRT""?","BERMUDA","BLUSA","SAIA","CALÇA","3","A",,"N","I"
596,"COMO SE ESCREVE ""LEITE"" EM INGLÊS?","WATER","BEER","JUICE","MILK","4","A",,"N","I"
588,"APPLE PIE É O MESMO QUE:","BOLO DE BANANA","SUCO DE PÊRA","TORTA DE MAÇÃ","SORVETE DE AMORA","3","A",,"N","I"
581,"QUAL DESSES ANIMAIS CORRESPONDE AO COELHO?","RABBIT","CAT ","DOG","BEAR","1","A",,"N","I"
590,"SUMMER CORRESPONDE A QUAL ESTAÇÃO DO ANO?","OUTONO","VERÃO","PRIMAVERA","INVERNO","2","A",,"N","I"
591,"MEIA-NOITE É O MESMO QUE:","MIDWEEK","MIDDAY","MIDNIGHT","MIDWAY","3","A",,"N","I"
592,"QUAL É O SIGNIFICADO DA PALAVRA INGLÊSA ""KING""?","RATO","REI","RAINHA","RÃ","2","A",,"N","I"
593,"HEAVY É UM ADJETIVO QUE CORRESPONDE A:","ÁSPERO","LEVE","PESADO","MACIO","3","A",,"N","I"
594,"QUAL DESSES OBJETOS CORRESPONDE À PALAVRA ""BARCO"" EM INGLÊS?","BOOK","BOAT","BALL","BAG","2","A",,"N","I"
595,"QUAL DESSAS FRUTAS CORRESPONDE AO ABACATE?","ORANGE","APPLE","PEACH","AVOCADO","4","A",,"N","I"
619,"QUAL É A PERGUNTA PARA: ""THEY ARE AT SCHOOL""?","WHERE DO YOU LIVE?","WHERE ARE THEY?","WHERE HAVE YOU BEEN?","WHERE ARE YOU FROM?","2","A",,"N","I"
644,"QUAL É O PARTICÍPIO PASSADO DO VERBO IRREGULAR ""BEGIN""","BEGAN","BECAME","BEGUN","BECOME","3","A",,"N","I"
605,"AVÓ EM INGLÊS CORRESPONDE A:","GRANDMOTHER","UNCLE","AUNT","DAUGHTER","1","A",,"N","I"
631,"GOOD MORNING SIGNIFICA:","ATÉ LOGO","BOA-TARDE","BOA-NOITE","BOM-DIA","4","A",,"N","I"
632,"O QUE SIGNIFICA ""SHE"" EM INGLÊS?","ELE","NÓS","VOCÊS","ELA","4","A",,"N","I"
633,"QUAL DESSAS PALAVRAS SIGNIFICA ÔNIBUS EM INGLÊS?","HORSE","CAR","APPLE","BUS","4","A",,"N","I"
634,"QUAL É A TRADUÇÃO DA PALAVRA INGLESA ""BOOK""?","CANETA","LÁPIS","MESA","LIVRO","4","A",,"N","I"
635,"O QUE SIGNIFICA A PALAVRA ""LOVE"" EM INGLÊS?","AMIGO","AMOR","ANJO","ARMA","2","A",,"N","I"
645,"E-MAIL SIGNIFICA:","INTERNET GRÁTIS","CORREIO ELETRÔNICO","POSTAGEM AUTOMÁTICA","COMÉRCIO ELETRÔNICO","2","A",,"N","I"
637,"O QUE SIGNIFICA ""RED"" EM INGLÊS:","RAMO","RUDE","VERMELHO","REDE","3","A",,"N","I"
629,"RUNAWAY CORRESPONDE A QUAL DESSAS AÇÕES:","CORTAR","GRITAR","FUGIR","LUTAR","3","A",,"N","I"
639,"QUAL É O SIGNIFICADO DA PALAVRA INGLESA ""STOP""?","ATENÇÃO","PARE","SIGA","RETORNE","2","A",,"N","I"
640,"A PALAVRA ""BIG"" EM INGLÊS SIGNIFICA:","GRANDE","PEQUENO","BONITO","PORCO","1","A",,"N","I"
641,"QUAL É O SIGNIFICADO DO VERBO ""TO DO"" NA FRASE: ""I AM DOING MY HOMEWORK.""?","FIZ","FAREI","FARIA","FAZENDO","4","A",,"N","I"
642,"QUAL DESSAS FRASES ESTÁ INCORRETA?","THIS IS A UMBRELLA","THAT TABLE WAS MINE","HE WAS NOT HAPPY","SHE HAS GOT LONG HAIR","1","A",,"N","I"
2460,"WHEN ________ HELP ME ?","YOU SHOULD","DON'T YOU","YOU WILL","COULD YOU","4","B",,"N","I"
2458,"WHAT ___________?","THEY DID","DID THEY","DO THEY DID","DID THEY DO","4","B",,"N","I"
2488,"WHO ________ THE BLAME ON PAUL?","IS PUTING","IS GIVING OFF","IS GIVING","IS PUTTING","4","B",,"N","I"
2447,"WHAT ______________ HER BACK ?","SHOULD  I GIVE","I SHOULD GIVE","SHOULD I COME","SHOULD I GO","1","B",,"N","I"
2448,"WHEN _____________PETER, I'LL GIVE HIM THE BOOK.","WILL I SEE","I CAN SEE","I SEE","I WILL SEE","3","B",,"N","I"
2449,"THE DOG OFTEN _____________ ON MY BED.","LIES","IS LYING","LAY DOWN","LIE","1","B",,"N","I"
2450,"FILL IN THE MISSING WORD. TO ""_____________ AROUND THE BUSH"" IS NA IDIOM WHICH MEANS TO AVOID SPEAKING DIRECTLY.","TALK","RUN","BEAT","LOOK","3","B",,"N","I"
2451,"CHOOSE THE CORRECT ANSWER. ONLY AT NIGHT ____________ THE SAFETY OF THEIR CAVE.","BATS LEAVE","LEAVE BATS","BATS WILL LEAVE","DO BATS LEAVE","1","B",,"N","I"
2452,"WHICH WORD COMPLETES THIS SENTENCES? I'VE BEEN A STUDENT _____________ FIVE YEARS.","FOR","DURING","IN RETAIL PRICE","SINCE","1","B",,"N","I"
2453,"___________________, THERE'S A RAINBOW IN THE SKY!","WATCH","LOOK AT","WATCH UP","LOOK","4","B",,"N","I"
2454,"WHICH PREPOSITION IS CORRECT? SHE'S ALREADY LEFT THE OFFICE BUT YOU CAN PHONE HER ___________ HOME.","AT  ","ON","AT","IN","1","B",,"N","I"
2455,"THE FORMER PRESIDENT_____________ A SPEECH IN PARLIAMENT ON MONDAY.","MADE","DID","TOOK","GOT","1","B",,"N","I"
2456,"WHAT WORD DESCRIBES A PERIOD OF 10 YEARS?","CENTURY","AEON","DECTON","DECADE","4","B",,"N","I"
2457,"HIS WIFE GAVE HIM _________________, WHICH SAVED HIS LIFE.","A TONIC","FIRST AID","SUNBURN","DANDRUFF","2","B",,"N","I"
2474,"I HAVE NEVER _________________ TO HER.","LAY","LAY DOWN","LAID","LIED","4","B",,"N","I"
2459,"SHE _______________ IN  BED ASLEEP WHEN I CALLED.","LIES","LAY DOWN","WAS LYING","LIED","3","B",,"N","I"
2445,"MY GRANDMOTHER'S OVER 90 BUT SHE'S VERY _______________FOR HER AGE.","UNEASY","ACTIVE","TENSE","NERVOUS","2","B",,"N","I"
2461,"WHICH WORD MEANS A PERIOD OF 100 YEARS?","DECADE","ERA","CENTURY","MILLENNIUM","3","B",,"N","I"
2462,"IF YOUR TOOTHACHE CONTINUES, YOU'LL HAVE TO SEE YOUR ____________________","DENTIST","OPTICIAN","VET","SURGEON","1","B",,"N","I"
2463,"I WANT TO TAKE MY TEMPERATURE. WHERE'S THE __________________?","STETHOSCOPE","ANTISEPTIC","THERMOMETER","METER","3","B",,"N","I"
2464,"MY GRANDMOTHER'S A BIT ________________ SO COULD YOU SPEAK A LITTLE LOUDER.","LAME","DUMB","BLIND","DEAF","4","B",,"N","I"
2465,"SHE ________ TO ME YESTERDAY.","LIED","LAID","LAY","LIE","1","B",,"N","I"
2466,"WHICH SENTENCE IS CORRECT?","I WISH IT WILL STOP RAINING","I WISH IT WILL STOP TO RAIN","I WISH IT WOULD STOP RAINING","I WISH IT WOULD STOP TO RAIN","3","B",,"N","I"
2467,"I WILL HAVE A ___________________ WITH THE BOSS.","WORD","SPEAK ","SENTENCE","DIALOGUE","1","B",,"N","I"
2468,"THE CONGRESS OF THE USA CONSISTS OF ________________.","THE SENATE AND THE PRESIDENT","THE FEDERAL COURT SYSTEM","THE HOUSE OF REPRESENTATIVES AND THE SENATE","THE PRESIDENT AND CABINET","3","B",,"N","I"
2469,"I ALWAYS __________________ MONEY.","RUN OUT OF","RUN OUT","GET OUT OF","GET OUT","1","B",,"N","I"
2470,"I ____________________ DOWN IN BED.","LAY","LIED","LAID","LAIN","1","B",,"N","I"
2471,"I MUST ____________________ THE COMPUTER OFF.","HAD SWITCHED","HAVE BEEN SWITCHED","SWITCHED","HAVE SWITCHED","4","B",,"N","I"
2472,"IT SEEMED LIKE AGES SINCE I ____________________ HER.","HAVE LAST SEEN","LAST SAW","HAD LAST SEEN","LAST SEE","3","B",,"N","I"
2506,"I _________________ LONDON BEFORE, BUT I HAD NEVER SEEN THE BIG BEN.","HAVE BEEN TO","HAD BEEN TO","HAD BEEN IN","HAVE BEEN IN","2","B",,"N","I"
2446,"SHE ASKED __________________.","WHAT THE POINT WAS","WHAT WILL BE THE POINT","WHAT'S THE POINT","WHAT SHOULD BE THE POINT","1","B",,"N","I"
2490,"FIND THE WORD THAT DOESN'T BELONG TO THE SENTENCE: ""I HAD NEVER SET FOOT OUT IN A PLACE LIKE THIS""","IN","FOOT","OUT","A","3","B",,"N","I"
2536,"HE ASKED IF WE _________________ TO GO THERE.","WANT","WILL WANT","COULD WANT","WANTED","4","B",,"N","I"
2537,"HE HAS BEEN OPERATED _____________ HIS LEG","IN","FOR","ON","WITH","3","B",,"N","I"
2538,"HE'S ALWAYS ________________ JOKES.","TALKING","SAYING","SPEAKING","TELLING","4","B",,"N","I"
2539,"OUR COMPANY HEADQUARTERS ______________ IN LONDON.","IS","HAS","ARE","HAVE","1","B",,"N","I"
2540,"THE NAME OF THE US NATIONAL ANTHEM IS ____________________.","GOD SAVE THE QUEEN","IN GOD WE TRUST","GOD KEEP OUR LAND GLORIOUS AND FREE","THE STAR SPANGLED BANNER","4","B",,"N","I"
2541,"1 PINT = _________________________.","1/2 GALLON","5/6 GALLON","0,46 LITRES","0,57 LITRES","4","B",,"N","I"
2542,"MY HEART WILL GO ON IS A SONG OF _____________.","CELINE DION","MADONNA","THE OFFSPRING","GUNS´N´ROSES","1","B",,"N","I"
2543,"TO PAY FOR SOMETHING = _____________________.","WITHDRAW CASH","OPEN AN ACCOUNT","FOOT THE BILL","MAKE A DEPOSIT","3","B",,"N","I"
2544,"I´LL COME AT EIGHT, OR ANY OTHER_____________ TIME YOU SUGGEST.","ADEQUATE","SUFFICIENT","SUITABLE","COMPETENT","3","B",,"N","I"
2545,"12TH= __________________.","THE TWELVTH","THE TWELVIETH","THE TWELVETH","THE TWELFTH","4","B",,"N","I"
2546,"I APOLOGIZE_____________ FOR TAKING SO MUCH YOUR TIME.","TALKING","OF","FOR ","MYSELF","4","B",,"N","I"
2547,"I _____________________ YOU BUT IS WAS VERY BUSY.","SHOULD HAVE CALLED","MUST HAVE CALLED","SHOULD CALL","HAD TO CALL","1","B",,"N","I"
2564,"I _________________ TO HIM ON THE PHONE.","SPOKED","SPEAKED","SPOKEN","SPOKE","4","B",,"N","I"
2549,"I MADE ________________ LAST MONTH.","A LOT OF MONEY","SO MANY MONEY","LOTS MONEY","MANY MONEY","1","B",,"N","I"
2535,"I WON'T GO THERE IF IT ___________________ TOMORROW.","RAIN","WOULD RAIN","RAINS","WILL RAIN","3","B",,"N","I"
2551,"COULD YOU LOOK _________________ IT?","TO","ON","WITH   ","AT","4","B",,"N","I"
2552,"I HAVE __________________ IN THIS TEST.","MADE A LOT OF MISTAKES","DONE A LOT OF MISTAKES","MADE A LOT OF FAULTS","DONE A LOT OF FAULTS","1","B",,"N","I"
2553,"I SAW HER ___________.","FOR 2 YEARS","BEFORE 2 YEARS","SINCE 2 YEARS","2 YEARS AGO","4","B",,"N","I"
2554,"SHE SPEAKS ENGLISH VERY WELL _______________ SHE'S BLIND.","IN SPITE OF","ALTHOUGH","DESPITE","THROUGH","2","B",,"N","I"
2555,"I REALISED THAT IF WE _________________ WE COULD BE VERY TIRED.","WILL CONTINUE","WOULD CONTINUE","CONTINUED","CONTINUE","3","B",,"N","I"
2556,"SHE WAS WEARING ___________________ BEAUTIFUL CLOTHES.","SO OLD AS ME","SUCH A","SUCH","A SO","3","B",,"N","I"
2557,"IF SHE WERE MY DAUGHTER, I _________________ HER STOP.","MAKE","WOULD MAKE","WILL MAKE","HAD MADE","2","B",,"N","I"
2558,"HE REMINDS ME _________________ SOMEONE.","WITH","OF","FROM","WITH","2","B",,"N","I"
2559,"THE RACE __________________ IN PRAGUE.","WAS HOLDED","WERE HOLD","WAS HELD","WAS HOLD","3","B",,"N","I"
2560,"I ___________________ THIS TEST FOR 15 MINUTES.","HAVE BEEN DOING","DO","HAVE DONE","AM DOING","1","B",,"N","I"
2561,"I NEVER EXPECTED YOU TO TURN _______________ AT THE MEETING. I THOUGHT YOU WERE ABROAD.","UP","IN","AROUND","WITH","1","B",,"N","I"
2562,"I HAVEN'T READ THE BOOK YET AND BESIDES, I _______________ IT AT HOME.","FORGET","FORGOT","LEFT","LET","3","B",,"N","I"
2563,"TO INVEST= ____________________.","TO SATISFY CUSTOMERS´DESIRE TO PURCHASE","TO SET THINGS IN LINE","TO DEREGULATE","TO LEND MONEY OR PUT MONEY INTO A BUSINESS","4","B",,"N","I"
2520,"WE ___________________ ENGLISH FOR TWO YEARS IN DECEMBER.","WILL HAVE BEEN LEARNING","WILL BE LEARNING","ARE GOING TO LEARN","WILL LEARN","1","B",,"N","I"
2518,"DO YOU SPEAK ENGLISH?","YES, I AM SPEAKING","YES, I DO","YES, I AM","YES, I SPEAK","2","B",,"N","I"
2548,"SKILL = __________________.","THE POWER OF DOING WICH IS THE RESULT OF PRACTISE","ARRANGEMENT","DEGREE OF EXCELLENCE","PRICE TO BE PAID","1","B",,"N","I"
2507," DON´T __________ANY ATTENTION, THEN,  SAID THE FARMER...","TAKE","PAY","PUT","MAKE","2","B",,"N","I"
2508,"..."" THAT WAS ONLY OLD DOBBIN AND HE DOESN´T KNOW A THING ABOUT ________""","MARES","NOSH","CARS","OATS","3","B",,"N","I"
2509,"WHERE ARE YOU FROM?","I'M OF THE CZECH REPUBLIC","I'M FROM THE CZECH REPUBLIC","I'M IN THE CZECH REPUBLIC","I'M OF CZECH REPUBLIC","2","B",,"N","I"
2510,"HOW OLD ARE YOU?","I'M OLD TWENTY-THREE","I'M TWENTY-THREE YEARS","I'M TWENTY-THREE","I HAVE TWENTY-THREE YEARS","3","B",,"N","I"
2511,"WHAT DO YOU DO ?","I'M A STUDENT","I DO STUDENT","I DOING ENGLISH","I'M STUDY ENGLISH","1","B",,"N","I"
2512,"DO YOU LIKE ENGLISH?","YES, I LIKE","YES, I LIKE DO","YES, I'M LIKE","YES, I DO","4","B",,"N","I"
2513,"HE STOPPED THE FARMER AND TOLD HIM EXACTLY WHAT ______________.","HAS HAPPENED","HAPPENED","HAD HAPPENED","WAS GOING TO HAPPEN","3","B",,"N","I"
2514,"DO YOU HAVE ANY CHILDREN?","NO, I HAVE ANY","NO, I DON'T HAVE","NO, NOT","NO, I DON'T","4","B",,"N","I"
2515,"THE MAN WAS SO SURPRISED THAT HE RAN DOWN THE ROAD UNTIL HE MET A FARMER WALKING____HIM","ON","TOWARDS","ASIDE","OUT OF","2","B",,"N","I"
2516,"WHAT COLOR IS YOUR CAR?","IT'S CAR RED","IT RED IS","IS RED","IT'S RED","4","B",,"N","I"
2517,"WHEN DO YOU HAVE DINNER?","IN THE MORNING","AT 11:30","AT 19:30","LAST NIGHT","3","B",,"N","I"
2534,"WHAT ARE YOU DOING NOW?","I'M STUDYING ENGLISH","I STUDYING","I DO STUDYING ENGLISH","I'M STUDY ENGLISH","1","B",,"N","I"
2519,"WHERE DO YOU LIVE?","ON SAN FRANCISCO","IN SAN FRANCISCO","AT SAN FRANCISCO","UP SAN FRANCISCO","2","B",,"N","I"
2505,"WHAT IS A POLITE RESPONSE TO THE FOLLOWING SENTENCE ""THANK YOU VERY MUCH!""?","OF COURSE","YOU'RE WELCOME!","YOURS TRULY!","ME TOO!","2","B",,"N","I"
2521,"WHICH WORD HAS A DIFFERENT MEANING?","HUGE","TERRIFIC","GOGANTIC","ENORMOUS","2","B",,"N","I"
2522,"IF YOU HAVE NOTHING PLANNED TO DO, YOU CAN SAY THAT YOU ARE__________.","AT A CROSSROADS","AT A LOOSE END","AT A GLANCE","AT A MOMENT'S NOTICE","2","B",,"N","I"
2523,"THE ROOM IN A ROOF OF A HOUSE IS CALLED A(N) ______________.","BASEMENT","ATTIC","CELLAR","DORMER","2","B",,"N","I"
2524,"FIND THE SYNONYM FOR THE WORD "" ANGRY""","GRIEVING","SMUG","EMBARRASED","FURIOUS","4","B",,"N","I"
2525,"WHICH OF THE FOLLOWING IS THE MOST APPROPRIATE TO SAY IF YOU WANT TO SIT DOWN IN A BUSY PLACE ?","EXCUSE ME, LET ME TAKE THIS SEAT","EXCUSE ME, IS THIS SEAT TAKEN?","EXCUSE ME, AM I SITTING HERE?","EXCUSE ME , IS THIS SEAT BUSY?","2","B",,"N","I"
2526,"I´M ALL EARS. MEANS...","I HAVE THE ATTENTION OF THE CROED","I'M LISTENING","I'M DRUNK","I'M CUP EARS COLLECTOR","2","B",,"N","I"
2527,"I _________ THE US TWO YEARS AGO.","HAVE BEEN TO","HAVE BEEN IN","WAS TO","WAS IN","4","B",,"N","I"
2528,"ARE YOU ____________ YET?","THROUGH","OVER","GONE","DONE","1","B",,"N","I"
2529,"MOTHER: HOW CAN YOU LIVE IN THIS PIGSTY? GO AND CLEAN YOUR ___________ROOM!","NICE","FILTHY","LITTLE","KEY","2","B",,"N","I"
2530," DID THE HORSE HAVE A WHITE ________IN THE MIDDLE OF HIS FOREHEAD?ASKED THE FARMER","PATCH","STAIN","SHANK","MARK","1","B",,"N","I"
2531,"____________ LIVE IN LONDON CITY.","LONDONNERS","LONDON´S","LONDONS","LONDONERS","4","B",,"N","I"
2532,"I´VE ________________ A LITTLE SUM OF MONEY FOR AN EMERGENCY.","PUT UP","PUT ASIDE","PUT OFF","PUT ON","2","B",,"N","I"
2533,"YOU´D BETTER ________ YOUR WHISKY AND GO HOME.","DRUNKEN","DRANK","DRUNK","DRINK","4","B",,"N","I"
2430,"SNOOKER IS _________________.","A GAME LIKE POOL","A KIND OF HORSE RACEIN","A TOOL FOR DIVERS","A CUE","1","B",,"N","I"
2353,"HOW CAN YOU _______________HIS SILLY MISTAKES.","PUT UP WITH","PUT UP","MAKE DOWN","MAKE OFF","1","B",,"N","I"
2473,"MY SISTER HAS ______________ MY FAVOURITE DRESS.","LENT","BORROWED","LOANED","ADOPTED","2","B",,"N","I"
2357,"CHOOSE THE WORD WITH THE CORRECT SPELLING:","PROFETED","PROFFITTED","PROFITTED","PROFFITED","1","B",,"N","I"
2358,"A MAN´S CAR _______STOPPED DEAD WHEN HE WAS DRIVING DOWN THE MIDDLE OF A COUNTRY LANE.","SUDDENLY","NOW","OFTEN","FOR A WHILE","1","B",,"N","I"
2359,"HE STEPPED OUT OF THE CAR AND LOOKED INSIDE THE BONNEST TO SEE IF HE COULD _______IT?","BREAK","DO","FIX","SHATTER","3","B",,"N","I"
2360," YOUR TROUBLE IS PROBABLY THE ________________","SCREWDRIVER","BATTERY","YOUR WIFE","COFFIN","2","B",,"N","I"
2361,"STEVE: GOT 25 CENTS?       FRANK: YES, I ALWAYS CARRY AROUND SOME ____________.","BUCKS","CENTS","NICKELS","CHANGE","4","B",,"N","I"
2362,"I _________________ THE BBC.","LISTEN","AM LISTENING TO","LISTENED","LISTEN WITH","2","B",,"N","I"
2363,"SHE HAS GOT DIMPLES IN HER CHEEKS, SIGNIFICA: ELA POSSUI...","SARDAS NO ROSTO","CICATRIZES NA TESTA","COVINHAS NAS BOCHECHAS","ESPINHAS NO ROSTO","3","B",,"N","I"
2364,"NURSE IS A JOB OF A PERSON WHO WORKS AT THE:","HOSPITAL","THEATRE","LIBRARY","AIRPORT","1","B",,"N","I"
2365,"QUAL É O SIGNIFICADO DA PALAVRA INGLESA ""HUNTER""?","CAÇADOR","DETETIVE","POLICIAL","ESTUDANTE","1","B",,"N","I"
2366,"O QUE SIGNIFICA A PALAVRA INGLESA ""HORSE""?","PEIXE","TIGRE","CAVALO","FALCÃO","3","B",,"N","I"
2367,"PUZZLE É O NOME DADO A QUAL DESSAS BRINCADEIRAS?","COBRA-CEGA","QUEBRA-CABEÇA","ESCONDE-ESCONDE","CABO-DE-GUERRA","2","B",,"N","I"
2384,"O QUE SIGNIFICA A PALAVRA INGLESA ""AFTERNOON'?","MANHÃ","NOITE","ADEUS","TARDE","4","B",,"N","I"
2369,"SUNDAY, EM INGLÊS, É QUAL DIA DA SEMANA?","SÁBADO","QUINTA","DOMINGO","SEGUNDA","3","B",,"N","I"
2355,"QUAL PALAVRA CORRESPONDE A MOTORISTA EM INGLÊS?","DRIVER","SAILOR","TEACHER","HUNTER","1","B",,"N","I"
2371,"QUAL DESSES OBJETOS NÃO É ENCONTRADO NA COZINHA?","FORK","KNIFE","BED","SPOON","3","B",,"N","I"
2372,"QUAL PALAVRA CORRESPONDE A ""COR-DE-ROSA"" EM INGLÊS?","RED","PINK","BROWN","GREEN","2","B",,"N","I"
2373,"WHICH OF THIS WORDS IS ASSOCIATED WITH  ""CAR""?","KNEE","TYRE","GUN","TIE","2","B",,"N","I"
2374,"QUAL É A TRADUÇÃO DA PALAVRA INGLESA ""PENCIL""?","LÁPIS","CANETA","BORRACHA","LIVRO","1","B",,"N","I"
2375,"QUAL É A  TRADUÇÃO DA PALAVRA INGLESA ""CAT""?","VACA","CAMELO","GATO","CÃO","3","B",,"N","I"
2376,"O QUE SIGNIFICA O VERBO EM INGLÊS ""TO SMOKE""?","FUMAR","FUGIR","FINGIR","FURAR","1","B",,"N","I"
2377,"O QUE SIGNIFICA O TERMO INGLÊS ""DELIVERY""?","ENTREGA EM DOMICÍLIO","COMIDA RÁPIDA","SIRVA-SE","DELIBERADO","1","B",,"N","I"
2378,"O QUE SIGNIFICA A PALAVRA INGLESA ""YOUNG""?","FORTE","JOVEM","ALTO","VELHO","2","B",,"N","I"
2379,"QUAL PALAVRA CORRESPONDE A ""HOJE"" EM INGLÊS?","YESTERDAY","TOMORROW","TODAY","HAPPY","3","B",,"N","I"
2380,"QUAL DESSES ESPORTES É AQUÁTICO?","KART RACING","WINDSURF","HORSE RACING","PARACHUTING","2","B",,"N","I"
2381,"COMPLETE: ""JOE _____ ME FLOWERS.""","RANG","SENT","HEARD","WORE","2","B",,"N","I"
2382,"WHICH OF THIS ANIMALS DO NOT FLY?","TOUCAN","EAGLE","BEAR","BUTTERFLY","3","B",,"N","I"
2383,"A EXPRESSÃO ""BY THE WAY"", SIGNIFICA:","ATÉ LOGO","OBRIGADO","A PROPÓSITO","BEM VINDO","3","B",,"N","I"
2340,"O TERMO ""BETWEEN"" SIGNIFICA:","ENTRE","AO LADO","EMBAIXO","EM FRENTE","1","B",,"N","I"
2338,"WHICH OF THIS THINGS THE MARRIEDS PUT ON IN THEIR FINGERS?","RING","EARRING","GLASSES","CUP","1","B",,"N","I"
2368,"QUAL DESSES INSTRUMENTOS MEDE A TEMPERATURA EM ""DEGREES""?","TORCH","BAROMETER","LIGHTER","THERMOMETER","4","B",,"N","I"
2328,"SHE WAS AFRAID É SEMELHANTE A:","SHE WAS IN LOVE","SHE WAS SCARED","SHE WAS HAPPY","SHE WAS CRAZY","2","B",,"N","I"
2329,"QUAL É O ANTÔNIMO DA FRASE: ""WE FOUND A GOODLOOKING BOY""?","WE FOUND AN UGLY BOY","WE FOUND A SILLY BOY","WE FOUND A FUNNY BOY","WE FOUND A MAD BOY","1","B",,"N","I"
2330,"QUAL DESSAS PALAVRAS NÃO CORRESPONDE AO SIGNIFICADO DO VERBO ""TO PLAY""?","JOGAR","TOCAR","BRINCAR","NASCER","4","B",,"N","I"
